;Title;DT Definition;modeling language;model type;notation;MDE technique;direction;source;target;purpose;domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level;notes;Reviewer;Reason;Notes;model processing technique;Spalte3;model usage technique;Modeling Tool;Notes.1;purpose of MDE application;purpose of DT;DT definition;Spalte1;Spalte4;Spalte2;notes3;purpose of MDE technique;Unnamed: 18
27;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;A DT is a dynamic virtual model of a system, processor, or service, with data (e.g., sensor data) from physical systems or processes integrated into it.;AML, Azure;structure;;;uni;AML;DT models;;J  Information and Communication;Operate, Maintain;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation, code generation;;;;;;By integrating the digital and physical worlds, the DT enables real-time monitoring of systems and processes and helps, for example, to reduce downtimes and detect errors at an early stage;;;;;;Model-Driven Engineering (MDE) applies the abstraction power of models to tackle the complexity of systems [16], [17], and thus, is by definition related to the concept of DTs;
28;Twin Process Model Driven Machining Quality Optimization for Complex Parts;Digital twin is an efficient method to realize simulation, monitoring and control of multi scale and physical quantity;???;structure;;;uni;NC;XML;;C  Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation;;;;;;;;;;;;;
29;Multisource Model-Driven Digital Twin System of Robotic Assembly;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
30;Interface Management with Closed-Loop Systems Engineering (CLOSE);;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
31;Urban Intelligence: Toward the Digital Twin of Matera and Catania;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
32;Developing a Physical and Digital Twin: An Example Process Model;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
33;Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;A Digital Twin is defined as a virtual reproduction of a system based on simulations, either with real-time or historical data, that allows representing, understanding, and predicting scenarios of the past, present, and future, with verified and validated models, and synchronized at a specified frequency and fidelity with the system;SDL, Snap!;behavior;;;uni;SDL;Snap!, GPL;;P  Education;Design;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;;;"4-5: das Ding läuft ""im Labor""";;Ann;;;Model to Model Transformation;;low code;;;;Digital Twin is becoming a core element of model-based systems engineering;;;;;;breaking silos;
34;A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;"The DT can monitor and interact with the physical entity and can be seen as a logical hub that concentrates I4.0 functionalities of a product, device, or system.
r, with the advent of CPSs, the DT appears as
a virtual representation of the physical product, a digital
shadow that contains all its information and knowledge
[15]. The DT is connected to the physical part in some
way, so as to allow data transfer from the physical to
the cyber part. Since the CPS is described as a set of
physical devices, objects, and equipment that interacts
with virtual cyberspace through a communication network, the cyber model of each physical entity can be seen
as a digital representation of the real entity [16], called
DT";AML, Web services;structure;;;uni;AML;Restful API, Html pages;;C  Manufacturing;Operate;Individual Systems, Systems of Systems;As-Designed;"model the physical device, serving as the virtual representation of the device; second, to model the DT itself, serving as a configuration reference for the deployment phase.";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;code generation, model interpretation;;;;;;The DT provides a virtual representation of products along their lifecycle that enables the prediction and optimization of the behavior of a production system and its components.;;;;;;The MDE concept advocates that engineers must put more effort into creating system specifications, through using models that allow automatic code generation for the system components, rather than writing this code manually;
35;Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
36;Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;DT only in Title;AML;structure;;;uni;PIM;PSM;;C  Manufacturing;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation;;MDA;;;;;;;;;;The original goal of MDA is to gain flexibility by having the ability to derive code from a stable model.;
37;Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
38;DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
39;AAS Capability-Based Operation and Engineering of Flexible Production Lines;;just implementation;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
40;An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;;just implementation;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
41;Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
42;Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;Kritzinger;AMME, ADOxx;structure;;;uni;BPMN;Diagramms, python;;C  Manufacturing;Test, Operate;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation, code generation;;Conceptual Modelling;;;;;;;;;;;
43;Holistic Network Virtualization and Pervasive Network Intelligence for 6G;;tutorial paper;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
44;A neural control of the parallel Gas Turbine with differential link;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
45;The THREAT-ARREST Cyber Range Platform;;education platform;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
